text,labels
air conditioner chair single bed wash basin,0
bed pillow picture clock,0
armchair nightstand slippers nut cracker,0
bedsheet duvet television nesting tables,0
bedside table tea table bedsheet chair,0
blanket rug bed utility drawers,0
bookshelf single bed table clock sink,0
bunk bed table clock mirror kitchen,0
carpet bedsheet hanger fireplace,0
chair table stool sugar bowl,0
clothes valet writing desk curtains garbage can,0
cot wallpaper rug desk lamp,0
curtains wall clock air conditioner frying pan,0
double bed armchair carpet armchair,0
duvet shutters ironing board yogurt maker,0
duvet cover slippers double bed pizza cutter,0
fan hat stand bunk bed garbage bag,0
hanger television table accent chair,0
hat stand bookshelf wardrobe corn pick,0
ironing board night lamp wallpaper fan,0
mirror twin bed bedside table dutch oven,0
night lamp mirror utility drawers picture,0
nightstand cot pillow chopsticks,0
picture ironing board sofa bed tv stand,0
pillow double bed fan credenza,0
rug blanket duvet bun warmer,0
shutters picture nightstand meat tenderizer,0
single bed bed chair ottoman,0
slippers fan writing desk wall mounted shelves,0
sofa bed stool shutters writing desk,0
stool bunk bed tea table roaster,0
table bedside table armchair quiche pan,0
table clock wardrobe clothes valet mold,0
tea table sofa bed bookshelf curling iron,0
television hanger wall clock throw blankets,0
twin bed duvet cover twin bed fork,0
utility drawers carpet duvet cover zester,0
wall clock clothes valet night lamp rice cooker,0
wallpaper air conditioner cot dish towel,0
wardrobe curtains blanket pot,0
writing desk utility drawers hat stand floor vase,0
grandfather clock rug bean bag chair roasting pan,1
television wall mirror armchair droppers,1
speaker floor to ceiling curtains table lamps honey dipper,1
carpet coat rack wall mounted tv shears,1
remote ottoman poufs wall mounted shelving system,1
floor lamp sofa clock brush,1
blinds grandfather clock grandfather clock bookcase,1
tv stand room divider bookshelf medicine,1
tv floor to ceiling bookcase desk lamp whip,1
fan table curtains rug,1
end table wall sconces decorative vases wok,1
curtains folding screen carpet ice cream maker,1
sofa wall-mounted wine rack room size mirror eyedropper,1
cushion floor vase wall-mounted wine rack side table,1
picture table lamps end table bedside table,1
telephone chaise lounge rug coat rack,1
vase decorative vases display cabinet pillow,1
fireplace fan wing chair mop,1
tea set indoor plants wall mounted shelves basin,1
table wall mounted tv end table knife sharpener,1
wing chair credenza media console china,1
sofa floor lamp plant stand display cabinet,1
couch vase side table wall sconces,1
floor vase picture floating shelves razor,1
media console media storage bar cart whisk,1
wall art bean bag chair room divider wardrobe,1
floor cushions throw blankets telephone pizza wheel,1
floor to ceiling bookcase tea set coffee table reamer,1
bookcase wall mounted speakers speaker tissues,1
wall-mounted wine rack poufs ottoman fruit bowl,1
coat rack shelving unit bookcase plant stand,1
rug blinds curtains magazine rack,1
wall mirror plant stand console table ironing board,1
coffee table cushion end of bed bench ice pick,1
media storage remote picture placemat,1
picture frames tv stand cushion window seat,1
throw blankets bookshelf sofa room size mirror,1
bean bag chair couch floor to ceiling bookcase dry,1
nesting stools blinds fireplace lotion,1
accent chair desk lamp floor to ceiling curtains antiseptic,1
bar cart clock media storage table,1
wall sconces picture frames entertainment center restroom,1
accent tables end table wall shelves folding screen,1
bookshelf curtains tv bedsheet,1
display cabinet wall-mounted floating desk chaise lounge custard cup,1
plant stand console table curtains marinate,1
shelving unit throw pillows picture frames oven mitt,1
wall mounted shelves floor cushions sofa stove,1
wall mounted speakers display cabinet accent chair poultry shears,1
folding screen side table wall mounted speakers cutting board,1
nesting tables bar cart throw blankets batter,1
throw pillows console cabinet nesting stools nesting stools,1
magazine rack nesting stools vase sofa bed,1
side table wall mounted shelves console cabinet armchair,1
table lamps accent chair table salad bowl,1
wall-mounted floating desk tv coat rack cake pancake stand,1
decorative vases curtains wall art floor lamp,1
end of bed bench sofa blinds grater,1
ottoman room size mirror folding screen blanket,1
room size mirror fireplace indoor plants throw pillows,1
desk lamp speaker wall mirror console table,1
floor to ceiling curtains wall mounted shelving system wall-mounted floating desk ice cube tray,1
curtains armchair credenza accent tables,1
wall shelves wing chair fan soap dispenser,1
armchair bookcase couch toilet seat,1
credenza wall shelves tv stand beater,1
poufs carpet remote garlic press,1
chaise lounge media console television shower curtain,1
console table coffee table tea set grinder,1
wall mounted tv accent tables blinds slow cooker,1
end table end table wall sconces floor to ceiling bookcase,1
indoor plants entertainment center throw pillows nightstand,1
window seat telephone window seat cookie sheet,1
curtains end of bed bench floor cushions pressure cooker,1
blinds curtains shelving unit slicer,1
floating shelves nesting tables accent tables waste basket,1
room divider television magazine rack sink,1
clock wall art floor vase sieve,1
console cabinet window seat nesting tables carpet,1
entertainment center magazine rack wall mounted shelving system q-tips,1
wall mounted shelving system floating shelves floor lamp fondue set,1
antiseptic eyedropper tissues trivet,2
aspirin scissors washroom wallpaper,2
atomizer plunger toilet rug,2
bandages paper towel whirlpool perfume,2
basin garbage can cologne stool,2
bath bubble bath basin plunger,2
bath mat trash can water broom,2
bath towel laundry hamper wipes broiler,2
bathrobe sponges scissors wall-mounted wine rack,2
bathtub powder bubble bath shave,2
bidet eau de cologne razor blade floor cushions,2
brush hand towel perfume tray,2
bubble bath cleaning laundry hamper sponges,2
bubbles dry mouthwash serving pieces,2
cleaning tub razor mug,2
cologne shower tweezers coffee grinder,2
comb whirlpool moisturizer conditioner,2
conditioner shower stall shower stall duvet,2
cotton balls disinfectant shower curtain wc,2
curlers mouthwash droppers lid,2
curling iron bidet shavers toaster oven,2
dental floss cologne wash basin bathrobe,2
disinfectant wash face cloth wall shelves,2
droppers nail polish brush bandages,2
dry urinal cleaning butter dish,2
eau de cologne nail scissors antiseptic wall mounted tv,2
emery board plumbing bath towel measuring cup,2
eyedropper hamper ointment bathtub,2
face cloth medications sink comb,2
faucet loofah medications tongs,2
floss bandages eyedropper soup bowl,2
flush bubbles talcum powder spice jars,2
garbage can razor blade plunger bread basket,2
hair dryer shavers tub island,2
hairbrush restroom towel apron,2
hamper hairbrush cotton balls nail file,2
hand towel water closet medicine ointment,2
laundry hamper toilet seat soap dish salt shaker,2
lavatory hair dryer shave talcum powder,2
loofah nail file restroom double bed,2
lotion tissues water closet shavers,2
make-up medicine bath fryer,2
medications droppers lotion plumbing,2
medicine bath mat make-up telephone,2
medicine cabinet antiseptic floss thermometer,2
mirror cotton balls soap juicer,2
moisturizer medicine cabinet wastebasket tea table,2
mouthwash wash basin bath mat nesting bowls,2
nail clippers basin rug food,2
nail file emery board bathrobe counter,2
nail polish wc nail file jar,2
nail scissors dental floss powder indoor plants,2
ointment lotion swabs plate,2
paper towel tweezers paper towel cleanser,2
perfume towel bandages bean bag chair,2
plumbing wastebasket hamper steamer,2
plunger swabs soap dispenser trash can,2
powder toilet paper medicine cabinet pan,2
q-tips perfume loofah hairbrush,2
razor bathtub nail scissors twin bed,2
razor blade nail clippers sponges water closet,2
restroom razor atomizer toilet,2
rug rug hair dryer picture frames,2
scales make-up urinal nail clippers,2
scissors shampoo eau de cologne platter,2
shampoo brush shampoo moisturizer,2
shave toothbrush hand towel emery board,2
shavers sink disinfectant hamper,2
shaving cream moisturizer nail clippers microwave oven,2
shower towel rack trash can cot,2
shower curtain lavatory emery board pot holder,2
shower stall toilet lavatory cast iron pan,2
sink q-tips hairbrush bowl,2
soap scales conditioner pie plate,2
soap dish soap dish dry table clock,2
soap dispenser flush faucet table,2
sponges shave aspirin ice bucket,2
swabs water plumbing wash,2
