,Possible locations (Wriite at least three)
person,"university, subway, restaurant"
bicycle,"garage, streets, repair shop"
car,"streets, garage, parking lot"
motorcycle,"streets, garage, parking lot"
airplane,"sky, airport, hangar"
bus,"station, streets, city"
train,"station, railroad, city"
truck,"highway, outside, city"
boat,"water, port, river"
traffic light,"streets, city, roads"
fire hydrant,"streets, city, roads"
stop sign,"streets, city, roads"
parking meter,"streets, city, roads"
bench,"streets, park, school"
bird,"zoo, park, tree"
cat,"house, streets, garden"
dog,"house, streets, park"
horse,"farm, zoo, stable"
sheep,"farms, zoo, stable"
cow,"farm, stable, vet"
elephant,"zoo, park, india"
bear,"zoo, park, circus"
zebra,"zoo, safari, africa"
giraffe,"zoo, safari, africa"
backpack,"my back, table, bedroom"
umbrella,"house, streets, school"
handbag,"car, shoulder, table"
tie,"human, closet, laundry"
suitcase,"airport, room, car"
frisbee,"park, streets, room"
skis,"snow, mountain, ski resort"
snowboard,"snow, mountain, ski resort"
sports ball,"park, field, streets"
kite,"park, field, streets"
baseball bat,"stadium, park, field"
baseball glove,"stadium, park, field"
skateboard,"skatepark, streets, school"
surfboard,"beach, water, sea"
tennis racket,"tennis field, parks, streets"
bottle,"table, supermarket, fridge"
wine glass,"table, bar, shelf"
cup,"cupboard, table, sink"
fork,"restaurant, table, sink"
knife,"restaurant, table, sink"
spoon,"restaurant, table, sink"
bowl,"restaurant, table, sink"
banana,"tree, supermarket, kitchen"
apple,"tree, supermarket, kitchen"
sandwich,"restaurant, supermarket, kitchen"
orange,"tree, supermarket, kitchen"
broccoli,"farm, supermarket, kitchen"
carrot,"farm, supermarket, kitchen"
hot dog,"park, streets, city"
pizza,"restaurant, table, oven"
donut,"supermarket, bakery, table"
cake,"supermarket, bakery, table"
chair,"house, restaurant, school"
couch,"house, lounge, office"
potted plant,"house, window, garden"
bed,"house, bedroom, hotel"
dining table,"house, restaurant, hotel"
toilet,"house, school, restaurant"
tv,"house, school , office"
laptop,"table, school, office"
mouse,"table, school, office"
remote,"table, school, office"
keyboard,"table, school, office"
cell phone,"table, pocket, backpack"
microwave,"kitchen, school, restaurant"
oven,"kitchen, school, restaurant"
toaster,"kitchen, school, restaurant"
sink,"bathroom, kitchen, toilet"
refrigerator,"kitchen, hotel, restaurant"
book,"library, bookshelf, backpack"
clock,"wall, table, school"
vase,"ground, house, hotel"
scissors,"drawer, school, barbershop"
teddy bear,"bed, room, suitcase"
hair drier,"bathroom, suitcase, hotel"
toothbrush,"bathroom, sink, backpack"
