Turn;Turn nr.;Speaker;Response;rdf_file;GROUP A - Average degree;GROUP A - Centrality entropy;GROUP A - Sparseness;GROUP C - Total triples;GROUP C - Total world instances;GROUP C - Total claims;GROUP C - Total perspectives;GROUP C - Total mentions;GROUP C - Total sources;GROUP C - Ratio claim to triples
763b7c2a-0168-41b5-8677-411b79e21ca8;0;SPEAKER;What's up? Do you want to talk to me John?;[];;0;0;0;0;0;0;0;0;
368658d4-75c6-4258-a415-a748dd28d152;1;SPEAKER;Yes;['brain_log_2025-11-19-18-51-11-479217.trig'];2.745098039;5.14189114;0.026912726;70;3;3;1;1;2;0.042857143
c781fffc-3385-426d-aa40-eba99c88fdc0;2;SPEAKER;You have my confidence.;[];2.745098039;5.14189114;0.026912726;70;3;3;1;1;2;0.042857143
6dfb5b29-fb8b-40f6-85f2-4f8dfbe862cc;3;SPEAKER;I am John from Oxford;['brain_log_2025-11-19-18-52-02-495537.trig'];2.577777778;4.843417545;0.027654321;58;1;2;1;1;1;0.034482759
a52f2bbf-b681-4cb8-b9bc-01f4fd55becb;4;SPEAKER;I’m curious. Has John ever been a grandparent?;[];2.577777778;4.843417545;0.027654321;58;1;2;1;1;1;0.034482759
c628f26e-09a9-4daf-8315-d6b088f90218;5;SPEAKER;yes I am, I am 57 ;['brain_log_2025-11-19-18-53-24-317825.trig'];3.1;5.247391785;0.025555556;93;4;4;2;1;2;0.043010753
a946b35b-dd55-47cb-a1a5-c53911da165d;6;SPEAKER;You are trusted by me.;[];3.1;5.247391785;0.025555556;93;4;4;2;1;2;0.043010753
60948efe-b4f8-4f36-9297-872feb286e7e;7;SPEAKER;I am also ceo ;['brain_log_2025-11-19-18-55-08-891901.trig'];3.183098592;5.514315733;0.022019441;113;4;4;2;2;2;0.03539823
e054695c-461d-4ed5-a831-0f61bb4ead30;8;SPEAKER;I like mango ;['brain_log_2025-11-19-18-57-03-066523.trig'];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
afc2b575-aefd-4263-acc5-71430eb3d31d;9;SPEAKER;You have my confidence.;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
8e11222f-f326-4967-ac7e-b7ce6c4c471d;10;SPEAKER;do you like mango?;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
d91b92c1-a5fb-42e2-8f4c-ee632c2e06cd;11;SPEAKER;I have no idea.;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
6736f894-2502-4641-b758-ad86d7d6b97c;12;SPEAKER;remember you like mango;['brain_log_2025-11-19-18-58-07-753443.trig'];2.612244898;5.030644662;0.02665556;64;3;2;1;1;1;0.03125
829c9b7f-7a0b-4302-bb5b-5e282d115ac6;13;SPEAKER;"I'm hearing this for the first time; I've never heard you compared to a mango before.";[];2.612244898;5.030644662;0.02665556;64;3;2;1;1;1;0.03125
7709e7b1-38c2-4133-ade1-548f856bb099;14;SPEAKER;You have my confidence;['brain_log_2025-11-19-18-59-20-298340.trig'];2.6;5.053309215;0.026;65;3;2;1;1;1;0.030769231
a2abb0d0-294a-4f34-8535-b018230b5f2d;15;SPEAKER;You are trusted by me.;[];2.6;5.053309215;0.026;65;3;2;1;1;1;0.030769231
cc7c4583-557d-424f-aa45-c1e5268f5d95;16;SPEAKER;you too ;['brain_log_2025-11-19-18-59-50-572441.trig'];3.25;5.569178884;0.022376543;117;5;4;2;2;2;0.034188034
dc54e912-15c9-4ef6-94d0-8d4588288e5b;17;SPEAKER;I like fish with mango ;['brain_log_2025-11-19-19-00-02-236809.trig'];2.823529412;5.088544403;0.027297193;72;3;3;1;1;2;0.041666667
1a55f7d9-665c-4f62-80e4-b46d6c52deac;18;SPEAKER;I want to know. Has John ever been a grandfather?;[];2.823529412;5.088544403;0.027297193;72;3;3;1;1;2;0.041666667
c9855ebf-ec7a-43fa-a673-a9efe5c534e6;19;SPEAKER;Yes;['brain_log_2025-11-19-19-01-46-702300.trig'];3.117647059;5.477842013;0.022707612;106;4;3;2;2;1;0.028301887
c9a6d572-44c7-4f96-a2b3-8bfaefba4e95;20;SPEAKER;I have no wife;[];3.117647059;5.477842013;0.022707612;106;4;3;2;2;1;0.028301887
4d5797a7-6261-41a3-9b47-ab9f06241ae2;21;SPEAKER;I heard that before. I heard about you before.;[];3.117647059;5.477842013;0.022707612;106;4;3;2;2;1;0.028301887
7810b61f-5d7d-406d-890c-b0a4af4101f8;22;SPEAKER;Do I have friends?;[];3.117647059;5.477842013;0.022707612;106;4;3;2;2;1;0.028301887
8d13c0ce-caa5-4cb7-a990-963d4b4a0670;23;SPEAKER;I might be ignorant, but I don't know. Sorry, I have no idea.;[];3.117647059;5.477842013;0.022707612;106;4;3;2;2;1;0.028301887
a86104a9-70fa-4b2d-b143-e24ad80e24fd;24;SPEAKER;I like Harris;['brain_log_2025-11-19-19-03-18-223426.trig'];2.84;5.006269456;0.028;71;2;3;1;1;2;0.042253521
201f70a2-21cf-4050-bb4b-8dbe80ed1ebf;25;SPEAKER;I want to know if anyone has ever been Harris's grandfather.;[];2.84;5.006269456;0.028;71;2;3;1;1;2;0.042253521
1de80770-ac22-4b3b-9e2f-8f2a149a2b8d;26;SPEAKER;Yes, Gilbert was Harris's grandfather ;['brain_log_2025-11-19-19-04-47-190181.trig'];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
2aa6d6b7-8623-4914-84a6-6894380327c4;27;SPEAKER;I believe I trust you.;[];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
c1caf39a-b022-41d7-bc3e-5c56b62ccde6;28;SPEAKER;I live in Oxford. Who am I?;['brain_log_2025-11-19-19-05-42-973767.trig'];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
69a7d5a4-cc1f-498c-81a5-74ba96df61b9;29;SPEAKER;This seems familiar. I've heard of you before.;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
c82a2fd5-0409-49b8-a73b-af7eddf46e48;30;SPEAKER;who am I then?;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
05c7e54a-d5dd-4166-a907-5c6822512d86;31;SPEAKER;You said that you are you.;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
59a4cf9d-db5f-4eb6-8552-d1055fd31c9e;32;SPEAKER;What is my name?;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
27801817-dc0d-4b9f-9af6-c3461c6ea5e3;33;SPEAKER;What do you know about John?;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
8e0f05be-d587-422b-af9b-d7474498cfbc;34;SPEAKER;You said you like Harris, mango, and fish with mango. You said you are from Oxford, live in Oxford, are a CEO, are named John, are 57, and have no wife. Josh said you both like and dislike cats. I noted your FaceID is c018cf8e 3785 42b5 9510 4abe9c0b5c5b.;[];2.807692308;5.110242773;0.026627219;73;3;3;1;1;2;0.04109589
0e49cbaf-c68c-4adc-a181-1118f62d67a0;35;SPEAKER;Josh is wrong I like dogs;['brain_log_2025-11-19-19-10-46-707760.trig'];3.162162162;5.621387442;0.021365961;117;5;4;2;2;2;0.034188034
4fb06a03-443c-41a3-bc07-bcf337bc4497;36;SPEAKER;You are trusted by me.;[];3.162162162;5.621387442;0.021365961;117;5;4;2;2;2;0.034188034
3bdc08e3-ac5c-4159-b71c-094371f82110;37;SPEAKER;What do you know about John?;[];3.162162162;5.621387442;0.021365961;117;5;4;2;2;2;0.034188034
e78d36f5-6d7d-4e4a-80c2-93ceaaa8cf03;38;SPEAKER;Someone said I know you. Harris said he likes you, and you said you are you. Josh said I know you. Thomas said he is married to you and that he hears you.;[];3.162162162;5.621387442;0.021365961;117;5;4;2;2;2;0.034188034
763aa8f5-aa2c-4753-bd59-0ca6139b4222;39;SPEAKER;I am John I like dogs ;['brain_log_2025-11-19-19-13-54-614630.trig'];3.157894737;5.228423671;0.027085257;90;3;4;2;1;2;0.044444444
eca6073d-a1df-4ccf-982d-a2a363333c27;40;SPEAKER;I wonder if an agent has ever owned a dog.;[];3.157894737;5.228423671;0.027085257;90;3;4;2;1;2;0.044444444
347ec8f8-d2bb-43c4-8463-384c8ae0182b;41;SPEAKER;yes;['brain_log_2025-11-19-19-14-55-209098.trig'];2.553191489;4.980928535;0.027161612;60;2;2;1;1;1;0.033333333
399efd76-8726-47f6-97a1-e0e8a7955909;42;SPEAKER;I believe I trust you.;[];2.553191489;4.980928535;0.027161612;60;2;2;1;1;1;0.033333333
9494fb93-840c-4c64-bfa1-33f0ef86de2f;43;SPEAKER;Tell me about you ;[];2.553191489;4.980928535;0.027161612;60;2;2;1;1;1;0.033333333
325c864b-f742-4679-be4b-82d43b02d704;44;SPEAKER;"Angus said I like myself.  
Arthur said my name is I and that Arthur’s name is I.  
Brian said my name is I and that Brian’s name is I.  
Carla said Carla has I and that I have I.  
Fred told Leolani about me.  
Carla trusts me and I trust Carla.  
Carl cooks for me, is a partner of me, and told Leolani about me.  
Carl said a person is my sibling.  
Estelle said Estelle’s name is I, my name is I, I have I, and that I am an agent.  
Estelle also said I have I and that the agent is my sister.  
Fredrique said someone is my wife, Fredrique has I, and Fredrique thought about Leolani asking me.  
Fred said I hear I, Fred hears I, I think about Leolani asking me, the agent thinks about Leolani asking me, Fred sees I, and the agent has been my colleague.  
Herman said my name is I, I have I, Herman has I, I hear I, the Czech Republic hears I, I trust I, Herman trusts I, Herman does not think I, Herman knows I, and Herman told Leolani about me.  
Jeff said my name is I.  
Joe said Joe’s name is I, Joe’s name speaks I, Joe’s name gives Leolani I, Joe’s name is happy to I, someone is my spouse, someone is my brother, I hear I, Joe hears I, Joe believes I, I trust I, Joe trusts I, an agent is my colleague, someone’s spouse chats with me, and Joe chats with me.  
Josh said someone is my brother.  
Luis said my name is I and Luis’s name is I.  
Pete maybe does not believe I.  
A stranger said I speak I.  
Susan met I.  
Thomas said Thomas speaks I.  
Yannis said Yannis’s name is I, Yannis’s name gives Leolani I, Yannis’s name tells Leolani I, I know I, Yannis knows I, I am I, I have I, a person has I, Yannis has I, I want I, I hear I, a cat hears I, Yannis hears I, Bob hears I, I think about Leolani asking I, Yannis thinks about Leolani asking I, Marie told Leolani about I, I trust I, Yannis trusts I, I see I, Yannis talked to I, an agent has been my friend, Yannis has been my friend, and Yannis speaks I.  
Zula said a person is my grandmother, Zula has I, Fred has I, I hear I, Zula hears I, a person thinks about Leolani asking I, and Carl speaks I.";[];2.553191489;4.980928535;0.027161612;60;2;2;1;1;1;0.033333333
964c7548-ee39-4d04-8505-dcbc2dde5307;45;SPEAKER;You have a big family, John has no family, John wants a family, can I have family?;['brain_log_2025-11-19-19-18-55-892648.trig'];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
6b19fd4e-fa7e-4da9-87f6-fa8c18b37a53;46;SPEAKER;I think you.;[];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
667f1cef-d5bb-454f-a705-63932871ff01;47;SPEAKER;Do you have quesitons to me ?;[];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
c5226d12-7527-447f-a86c-e2d42f032796;48;SPEAKER;I have no idea!;[];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
3134b6aa-e371-4808-9832-893ad312901b;49;SPEAKER;Goodbye;[];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
9b77e6e9-3dd9-4782-8165-2344b5e8f9e6;50;SPEAKER;Have a nice day;[];2.777777778;5.204903635;0.025720165;75;4;3;1;1;2;0.04
