Turn;Speaker;Response;llh;model_turn;max_llh
763b7c2a-0168-41b5-8677-411b79e21ca8;LEOLANI;What's up? Do you want to talk to me John?;0.616394114; what  up  do  you  want  to  talk  to  me  ? ;0.843574288
c781fffc-3385-426d-aa40-eba99c88fdc0;LEOLANI;You have my confidence.;0.280279294; you  have  the  blessing ;0.374886665
a52f2bbf-b681-4cb8-b9bc-01f4fd55becb;LEOLANI;I’m curious. Has John ever been a grandparent?;0.39584291; .  good has  he  ever  been  a  student ;0.548088714
a946b35b-dd55-47cb-a1a5-c53911da165d;LEOLANI;You are trusted by me.;0.193759066; you  is  fine  in  me ;0.380626172
afc2b575-aefd-4263-acc5-71430eb3d31d;LEOLANI;You have my confidence.;0; to  for  more  favorite ;0.443861257
d91b92c1-a5fb-42e2-8f4c-ee632c2e06cd;LEOLANI;I have no idea.;0.485951722; i  had  no  idea ;0.644905776
829c9b7f-7a0b-4302-bb5b-5e282d115ac6;LEOLANI;"I'm hearing this for the first time; I've never heard you compared to a mango before.";0.441408113; ?  hearing  that  for  the  first  time  i  never  heard  it  refer  to  a  chicken  . ;0.695385215
a2abb0d0-294a-4f34-8535-b018230b5f2d;LEOLANI;You are trusted by me.;0.208564599; and  are  standing  in  me ;0.537789381
1a55f7d9-665c-4f62-80e4-b46d6c52deac;LEOLANI;I want to know. Has John ever been a grandfather?;0.379455189; i  want  to  fish have  there  hamm  been  a  fish ;0.56409709
4d5797a7-6261-41a3-9b47-ab9f06241ae2;LEOLANI;I heard that before. I heard about you before.;0.284292112; i  heard  that  . i  heard  about  that  . ;0.370769857
8d13c0ce-caa5-4cb7-a990-963d4b4a0670;LEOLANI;I might be ignorant, but I don't know. Sorry, I have no idea.;0.540203257; i  may  be  ,  but  i  do  have so  i  have  no  friends ;0.804377861
201f70a2-21cf-4050-bb4b-8dbe80ed1ebf;LEOLANI;I want to know if anyone has ever been Harris's grandfather.;0.565089289; and  want  to  know  if  he  has  ever  been  a  assistant ;0.803868225
2aa6d6b7-8623-4914-84a6-6894380327c4;LEOLANI;I believe I trust you.;0.279807174; i  guess  and  told  him ;0.567068714
69a7d5a4-cc1f-498c-81a5-74ba96df61b9;LEOLANI;This seems familiar. I've heard of you before.;0.259359181; that  sounds  like  never  heard  of  her  . ;0.704074062
05c7e54a-d5dd-4166-a907-5c6822512d86;LEOLANI;You said that you are you.;0.269016609; you  say  that  who  are  not ;0.441331916
8e0f05be-d587-422b-af9b-d7474498cfbc;LEOLANI;You said you like Harris, mango, and fish with mango. You said you are from Oxford, live in Oxford, are a CEO, are named John, are 57, and have no wife. Josh said you both like and dislike cats. I noted your FaceID is c018cf8e 3785 42b5 9510 4abe9c0b5c5b.;0.35458156;you  said  you  like  eating  dogs  and  cats  ,  . you  said  you  are  from  ,  live  in  dc  have  a  cat  are  a  ,  age  single  and  have  a  pets you  said  you  also  like  and  have  . you  believe  their  cat  is  212 9 f e  . ;0.524493531
4fb06a03-443c-41a3-bc07-bcf337bc4497;LEOLANI;You are trusted by me.;0.324911189; that  are  right  by  humans ;0.585054779
