,Possible locations (Wriite at least three)
person,"home, streets, car"
bicycle,"streets, garage, stations"
car,"streets, highways, factories, parking lot, road"
motorcycle,"streets, circus, movies, parking lot, road"
airplane,"air, factories, movies"
bus,"streets, stations, cities, road"
train,"railroad, city, country"
truck,"street, construction site, rural area, road"
boat,"water, sea, lakes"
traffic light,"cities, streets, road"
fire hydrant,"cities, streets, road"
stop sign,"cities, streets, road"
parking meter,"cities, streets, road"
bench,"parks, cities, terrace"
bird,"trees, forests, mountains"
cat,"home, streets, roof"
dog,"home, parks, cities"
horse,"zoo, road, race, farms"
sheep,"farms, zoo, parks"
cow,"farms, zoo, countryside"
elephant,"africa, india, zoo"
bear,"forests, mountains, zoo"
zebra,"africa, zoo, lion king"
giraffe,"africa, zoo, lion king"
backpack,"home, room, school"
umbrella,"home, streets, school"
handbag,"clubs, home, car"
tie,"human, wardrobe, washing machine"
suitcase,"airports, home, basement"
frisbee,"parks, cities, beach"
skis,"mountains, ski resorts, snow"
snowboard,"mountains, ski resorts, snow"
sports ball,"parks, beach, garden"
kite,"beach, China, lake, sea"
baseball bat,"park, baseball stadiums, home"
baseball glove,"park, baseball stadiums, home"
skateboard,"streets, metro stations, stairs"
surfboard,"water, beach, sea, waves"
tennis racket,"park, tennis court, room, wardrobe"
bottle,"table, bar, fridge"
wine glass,"cupboard, bar, party"
cup,"cupboard, kitchen, table"
fork,"kitchen, table, dinner"
knife,"kitchen, table, dinner"
spoon,"kitchen, table, dinner"
bowl,"kitchen, table, dinner"
banana,"kitchen, table, fridge, supermarket"
apple,"kitchen, table, fridge, supermarket"
sandwich,"kitchen, table, fridge, supermarket"
orange,"kitchen, table, fridge, supermarket"
broccoli,"kitchen, table, fridge, supermarket"
carrot,"kitchen, table, fridge, supermarket"
hot dog,"kitchen, table, supermarket, united states"
pizza,"kitchen, table, university, shops"
donut,"dunkin donuts, kitchen, table"
cake,"supermarket, kitchen, table"
chair,"home, room, school, university"
couch,"home, club, bar"
potted plant,"school, university, home"
bed,"home, room, furniture shop"
dining table,"home, dinner, restaurant"
toilet,"university, metro stations, home"
tv,"bar, home, electronics shop"
laptop,"school, university, home, room"
mouse,"desk, laptop, electronics shop"
remote,"living room, home, electronics shoip"
keyboard,"electronics shop, room, home"
cell phone,"pocket, room, bed"
microwave,"kitchen, mall, hotel"
oven,"kitchen, mall, pizza place"
toaster,"kitchen, mall, holiday place"
sink,"bathrom, club, bar"
refrigerator,"kitchen, home, mall"
book,"room, home, library, school, university"
clock,"room, home, desk"
vase,"room, home, mall"
scissors,"room, school, university"
teddy bear,"bed, shop, box"
hair drier,"bathroom, drawers, box"
toothbrush,"bathroom, drawers, box"
