,Possible locations (Wriite at least three)
person,"airplane, train, boat"
bicycle,"bike store, pavement, bicycle lane"
car,"parking spot, highway, driveway"
motorcycle," city, suburb, circuit"
airplane,"hangar, crash site, scrap yard"
bus,"school, airport, bus stop"
train,"railway, station, train depot"
truck,"construction site, distribution centre, farm"
boat,"dock, harbour, bay"
traffic light,"cross section, tunnel, rail roads"
fire hydrant,"grass, pavement, road"
stop sign,"railroad, cross section, end of the road"
parking meter,"pavement, street, garage"
bench,"statios, yards, bus stop"
bird,"nest, air, bush"
cat,"bush, tree, sofa"
dog,"yard, shelter, kennel"
horse,"meadows, forrest, field"
sheep,"field, heather, meadows"
cow,"meadows, field, butcher"
elephant,"savanna, Thailand, South Africa"
bear,"creek, river, forest"
zebra,"savanna, zoo, South Africa"
giraffe,"savanna, South africa, zoo"
backpack,"floor, back, hostel"
umbrella,"wardrobe, coat rack, hatstand"
handbag,"chair, floor, wardrobe"
tie,"wardrobe, coat rack, hatstand"
suitcase,"chair, floor, wardrobe"
frisbee,"Air, park, shed"
skis,"shed, attic, storage"
snowboard,"shed, attic, storage"
sports ball,"shed, attic, storage"
kite,"beach, park, air"
baseball bat,"stadium, shed, hallway"
baseball glove,"stadium, shed, hallway"
skateboard,"hallway, skate store, skate park"
surfboard,"surf shop, beach, car"
tennis racket,"hallway, shed, tennis shop"
bottle,"sea, liquor store, club"
wine glass,"bar, club, living room"
cup,"kantine, self, desk"
fork,"kantine, restaurant, drawer"
knife,"kantine, restaurant, drawer"
spoon,"kantine, restaurant, drawer"
bowl,"kantine, drawer, restaurant"
banana,"kantine, mokey, supermarket"
apple,"kantine, green grocer, tree"
sandwich,"kantine, sandwich store, restaurant"
orange,"kantine, green grocer, tree"
broccoli,"green grocer, farm, refridgerator"
carrot,"green grocer, farm, refridgerator"
hot dog,"park, hot dog stand, new york"
pizza,"new york, italy, fridge"
donut,"police station, bakery, supermarket"
cake,"bakery, supermarket, table"
chair,"table, floor, living room"
couch,"living room, kantine, lounge"
potted plant,"yard, university, office"
bed,"bed store, hotel room, furniture store"
dining table,"furniture store, restaurant , dining room"
toilet,"university, office, hospital"
tv,"kantine, electronics store, class room"
laptop,"class room, electronics store, tv room"
mouse,"desk, office, electronics store"
remote,"sofa, couch, saloon table"
keyboard,"desk, office, electronics store"
cell phone,"pocket, saloon table, charger"
microwave,"kantine, restaurant, drawer"
oven,"kantine, restaurant, kitchen"
toaster,"kitchen, kantine, kitchen table"
sink,"kitchen, kantine, bathroom"
refrigerator,"kantine, kitchen, garage"
book,"self, desk, libary"
clock,"libary, church, bedroom"
vase,"museum, dinner table, shelf"
scissors,"drawer, hair dresser, crime scene"
teddy bear,"bed room, bed, toy store"
hair drier,"bathroom, hair dresser, barber"
toothbrush,"toilet bag, bathroom, travel bag"
