,Possible locations (Wriite at least three)
person,"inside, store, supermarket"
bicycle,"park, city, beach"
car,"petrol station, roads, highway "
motorcycle,"petrol station, roads, highway "
airplane,"sky, ground, airport"
bus,"petrol station, roads, highway "
train,"train station, railway, mountains"
truck,"petrol station, roads, highway "
boat,"sea, water, ocean"
traffic light,"city, streets, road"
fire hydrant,"streets, city, village"
stop sign,"streets, city, village"
parking meter,"streets, city, village"
bench,"park, beach, gym"
bird,"sky, trees, ground, park, air"
cat,"house, streets, outside"
dog,"house, streets, outside"
horse,"stable, forest, beach"
sheep,"farm, mountains, Meadow"
cow,"farm, mountains, Meadow"
elephant,"zoo, africa, safari"
bear,"zoo, forest, circus"
zebra,"zoo, africa, safari"
giraffe,"zoo, africa, safari"
backpack,"back, table, ground, house, room, school, university"
umbrella,"closet, outside, hand"
handbag,"hand, shoulder, table, floor"
tie,"neck, body, human, closet"
suitcase,"floor, airport, cabin"
frisbee,"closet, air, park"
skis,"mountains, snow, skiresort"
snowboard,"mountains, snow, skiresort"
sports ball,"park, gym, sportclub"
kite,"sky, air, park, beach"
baseball bat,"park, stadium, field"
baseball glove,"park, stadium, field"
skateboard,"skatepark, streets, outside"
surfboard,"ocean, sea, water"
tennis racket,"tenniscourt, park, outside"
bottle,"table, nightstand, supermarket"
wine glass,"supermarket, kitchen, restaurant"
cup,"supermarket, kitchen, restaurant, cupboard"
fork,"kitchen, drawer, restaurant"
knife,"kitchen, drawer, restaurant"
spoon,"kitchen, drawer, restaurant"
bowl,"kitchen, drawer, restaurant"
banana,"supermarket, fruitbasket, trees"
apple,"supermarket, fruitbasket, trees"
sandwich,"supermarket, cafe, restaurant"
orange,"supermarket, fruitbasket, trees"
broccoli,"supermarket, farmersmarket, market, "
carrot,"ground, farmersmarket, supermarket, fridge "
hot dog,"stall, city, festival"
pizza,"restaurant, pizzeria, italy"
donut,"america, bakery, supermarket"
cake,"cakeshop, bakery, supermarket"
chair,"room, school, lecturehall"
couch,"livingroom, waitingroom, office, lounge"
potted plant,"house, restaurant, hotel"
bed,"bedroom, hotel, hostel"
dining table,"house, mansion, hotel"
toilet,"hotel, house, restaurant, university"
tv,"home, office, hotel"
laptop,"backpack, table, bag"
mouse,"backpack, table, bag"
remote,"table, nightstand, store"
keyboard,"table, store, house "
cell phone,"pocket, bag, store"
microwave,"kitchen, store, university"
oven,"kitchen, store, restaurant"
toaster,"kitchen, store, restaurant"
sink,"kitchen, store, restaurant"
refrigerator,"kitchen, store, restaurant"
book,"room, library, shelf"
clock,"room, wall, store"
vase,"table, store, hotel"
scissors,"drawer, hand, store"
teddy bear,"bed, hand, store"
hair drier,"bathroom, hand, hotel, hairdresser"
toothbrush,"bathroom, bag, hand, store"
