"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government"
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government"
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government"
Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | training | School_of_Applied_Arts_in_Stuttgart && Karlsruhe | country | Germany && Israel | language | Modern_Hebrew
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | training | School_of_Applied_Arts_in_Stuttgart && Karlsruhe | country | Germany && Israel | language | Modern_Hebrew
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | training | School_of_Applied_Arts_in_Stuttgart && Karlsruhe | country | Germany && Israel | language | Modern_Hebrew
"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Madrid | country | Spain
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Madrid | country | Spain
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Madrid | country | Spain
Mexico | currency | Mexican_peso && Mexico | demonym | Mexicans && Bionico | course | Dessert && Bionico | region | Guadalajara && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Mexico | demonym | Mexicans && Bionico | course | Dessert && Bionico | region | Guadalajara && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Mexico | demonym | Mexicans && Bionico | course | Dessert && Bionico | region | Guadalajara && Bionico | country | Mexico
