"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania"
"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania"
"Acharya_Institute_of_Technology | affiliations | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India"""
"Acharya_Institute_of_Technology | affiliations | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India"""
"Acharya_Institute_of_Technology | affiliations | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | country | ""India"""
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government && Ciudad_Ayala | utcOffset | −6"
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government && Ciudad_Ayala | utcOffset | −6"
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government && Ciudad_Ayala | utcOffset | −6"
Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | budget | 2000000.0 && Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | director | Ray_Griggs_(director) && Super_Capers | runtime | 98.0
Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | budget | 2000000.0 && Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | director | Ray_Griggs_(director) && Super_Capers | runtime | 98.0
Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | budget | 2000000.0 && Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | director | Ray_Griggs_(director) && Super_Capers | runtime | 98.0
Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | genre | Post-metal && Aaron_Turner | origin | United_States && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar
Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | genre | Post-metal && Aaron_Turner | origin | United_States && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar
Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | genre | Post-metal && Aaron_Turner | origin | United_States && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar
"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0 && Death_on_a_Factory_Farm | director | Sarah_Teale
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0 && Death_on_a_Factory_Farm | director | Sarah_Teale
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0 && Death_on_a_Factory_Farm | director | Sarah_Teale
Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | utcOffset | −6 && Ciudad_Ayala | isPartOf | Morelos && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time
