Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals
Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals
Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | ingredient | Granola && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | ingredient | Granola && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | ingredient | Granola && Bionico | country | Mexico
Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Ciudad_Ayala | utcOffset | −6 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0
Ciudad_Ayala | utcOffset | −6 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0
Ciudad_Ayala | utcOffset | −6 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14L/32R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14L/32R"""
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | mainIngredient | ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" && Bionico | country | Mexico"
"Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | mainIngredient | ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" && Bionico | country | Mexico"
"Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | mainIngredient | ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" && Bionico | country | Mexico"
English_Without_Tears | writer | Terence_Rattigan && Terence_Rattigan | deathDate | 1977-11-30 && English_Without_Tears | director | Harold_French && Harold_French | birthYear | 1897
English_Without_Tears | writer | Terence_Rattigan && Terence_Rattigan | deathDate | 1977-11-30 && English_Without_Tears | director | Harold_French && Harold_French | birthYear | 1897
English_Without_Tears | writer | Terence_Rattigan && Terence_Rattigan | deathDate | 1977-11-30 && English_Without_Tears | director | Harold_French && Harold_French | birthYear | 1897
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence
"Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | genre | Post-metal && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | 1995"
"Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | genre | Post-metal && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | 1995"
Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | associatedBand/associatedMusicalArtist | Lotus_Eaters_(band) && Aaron_Turner | genre | Black_metal && Aaron_Turner | instrument | Electric_guitar
Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | associatedBand/associatedMusicalArtist | Lotus_Eaters_(band) && Aaron_Turner | genre | Black_metal && Aaron_Turner | instrument | Electric_guitar
Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | associatedBand/associatedMusicalArtist | Lotus_Eaters_(band) && Aaron_Turner | genre | Black_metal && Aaron_Turner | instrument | Electric_guitar
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
Ciudad_Ayala | country | Mexico && Mexico | areaTotal | 1972550.0 && Ciudad_Ayala | isPartOf | Morelos && Morelos | type | States_of_Mexico
Ciudad_Ayala | country | Mexico && Mexico | areaTotal | 1972550.0 && Ciudad_Ayala | isPartOf | Morelos && Morelos | type | States_of_Mexico
Ciudad_Ayala | country | Mexico && Mexico | areaTotal | 1972550.0 && Ciudad_Ayala | isPartOf | Morelos && Morelos | type | States_of_Mexico
Super_Capers | writer | Ray_Griggs_(director) && Ray_Griggs_(director) | birthYear | 1974 && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore
Super_Capers | writer | Ray_Griggs_(director) && Ray_Griggs_(director) | birthYear | 1974 && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore
Super_Capers | writer | Ray_Griggs_(director) && Ray_Griggs_(director) | birthYear | 1974 && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore
Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | timeZone | Pacific_Daylight_Time && Ciudad_Ayala | populationDensity | 1604.0
Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | timeZone | Pacific_Daylight_Time && Ciudad_Ayala | populationDensity | 1604.0
Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | Governator && Ciudad_Ayala | timeZone | Pacific_Daylight_Time && Ciudad_Ayala | populationDensity | 1604.0
"Liselotte_Grschebina | deathPlace | Israel && Petah_Tikva | meaning | ""Opening of hope"" && Israel | longName | ""State of Israel"" && Liselotte_Grschebina | deathPlace | Petah_Tikva"
"Liselotte_Grschebina | deathPlace | Israel && Petah_Tikva | meaning | ""Opening of hope"" && Israel | longName | ""State of Israel"" && Liselotte_Grschebina | deathPlace | Petah_Tikva"
"Liselotte_Grschebina | deathPlace | Israel && Petah_Tikva | meaning | ""Opening of hope"" && Israel | longName | ""State of Israel"" && Liselotte_Grschebina | deathPlace | Petah_Tikva"
English_Without_Tears | runtime | 89.0 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | manufacturer | Pontiac && Pontiac_Rageous | assembly | Michigan && Michigan | areaTotal | 250493000000.0
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | manufacturer | Pontiac && Pontiac_Rageous | assembly | Michigan && Michigan | areaTotal | 250493000000.0
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | manufacturer | Pontiac && Pontiac_Rageous | assembly | Michigan && Michigan | areaTotal | 250493000000.0
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker && It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker && It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker && It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | nationality | Israel
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | nationality | Israel
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | nationality | Israel
