Likert-scale rating (agree -5, somewhat agree-4, neutral-3, somewhat disagree-2, disagree-1);grammar;sound;relevant;human;fluent;clarity;unambiguous;engaging;understandable;
;;;;;;;;;;
Chinabank is located in the Philippines and is the location of Chinabank.;4;3;4;3;3;3;3;2;4;3,222222222
"""The film, """"Its Great to be 5"""" starred by """"Cel""";2;3;3;2;2;4;4;2;4;2,888888889
08/26 is the runway name of the Bedford Aerodrome, which has the name;3;3;4;2;2;3;4;2;4;3
"""The sister production of the HBO, which has a sister station called the Cinemax, is""";4;2;4;2;3;3;4;3;3;3,111111111
John Miller died in 2005 and he died in 2005.;5;3;4;3;3;4;4;2;5;3,666666667
;3,6;2,8;3,8;2,4;2,6;3,4;3,8;2,2;4;3,177777778
;;;;;;;;;;
Ciudad Ayala is located in Mexico and is led by the Governator;4;4;4;4;4;5;5;3;4;4,111111111
Bionico is a dessert dish from Mexico, where the currency is the peso;4;4;4;4;4;5;5;3;4;4,111111111
Aaron Turner started performing in 1995 and his musical career began in 1995. He plays Post-met;4;3;4;3;3;4;4;4;4;3,666666667
Ray Giles was born in 1974 and wrote the super captures which starred Michael Korker;4;4;5;4;5;5;5;4;4;4,444444444
Anatole de Growwald produces English Without Teas which is edited by Alan Ja;3;4;4;4;4;5;5;4;4;4,111111111
;3,8;3,8;4,2;3,8;4;4,8;4,8;3,6;4;4,088888889
;;;;;;;;;;
The city of Ciudad Ayala is led by the City Manager and is located;2;3;4;3;3;3;4;3;4;3,222222222
The director of It's Great Britain is Cyril Frankel and it stars John Miller;4;4;4;4;4;4;4;4;4;4
 The Bedford Aerodrome, which serves the city of Bedford, is located in Thurleigh;4;4;4;4;4;5;4;4;4;4,111111111
 The city of Ciudad Ayala in Mexico is led by the City Manager.;5;5;4;4;5;5;5;4;4;4,555555556
Ciudad Ayala is located in the city of Ciu in the Andlos;4;4;4;4;4;4;4;4;4;4
;3,8;4;4;3,8;4;4,2;4,2;3,8;4;3,977777778
;;;;;;;;;;
;3,733333333;3,533333333;4;3,333333333;3,533333333;4,133333333;4,266666667;3,2;4;
