SR_number,source,source_location,target,target_location,kinship_phrase,Notes
27564,Rachel,speaker,unnamed,None,my sister,target maybe (likely) earlier in convo
27577,Phoebe,speaker,unnamed,None,my mother,
27592,Chandler,prev speaker,unnamed,None,your parents,
27628,Rachel,speaker,Jill,prev speaker and next speaker,my sister,"full phrase: ""you are my sister"""
27743,Rachel,speaker,Jill,prev prev speaker,my sister,
27747,Jill,next speaker,Rachel,prev speaker,your sister,
27773,Rachel,speaker,Jill,NE next utterance,my sister,
27836,unnamed,None,unnamed,None,her brother,target (Monica) likely named earlier in convo
28281,Joey,speaker,unnamed,None,my parents,
28432,Ross,speaker,unnamed,None,my dad,
28609,"""Mrs. Wallace""",NE in utterance,unnamed,None,your sister,Mrs. Wallace is being addressed by Dr. Drake Ramoray
28677,Monica,speaker,unnamed,None,my parents,
28844,Elizabeth,speaker,Paul,NE in utterance,my father,"""This is my father, Paul Stevens. Dad, this is Ross Geller."""
28852,Paul,speaker,unnamed,None,my daughter,
28956,Rachel,speaker,unnamed,None,my sister,
29051,Paul,prev speaker and next speaker,unnamed,None,your daughter,
29093,Elizabeth,NE in next utterance,unnamed,None,her father,
29101,Paul,speaker,Lizzie,NE in utterance,my daughter,
29167,Elizabeth,prev speaker and next speaker,unnamed,None,your father,
29185,Paul,speaker,unnamed,None,my mom,
29227,Elizabeth,speaker,Paul,next next speaker,my dad,
29228,Elizabeth,prev speaker,Paul,next speaker,your dad,
29291,Paul,speaker,Elizabeth,prev speaker,my daughter,"target is previous, and not next, speaker"
29378,Paul,speaker,unnamed,None,my parents,
29456,Chandler,prev speaker and next speaker,unnamed,None,your dad,
29458,Paul,speaker,unnamed,None,my dad,
29459,Chandler,speaker,unnamed,None,my dad,
29464,Paul,speaker,unnamed,None,my dad,
29512,Paul,speaker,unnamed,None,my mother,
29754,Monica,prev speaker next speaker,unnamed,None,her parents,
29758,Chandler,speaker,unnamed,None,my parents,
30104,unnamed,None,unnamed,None,her parents,source (Monica?) likely earlier in convo
30329,Monica,speaker,Charlie,NE in utterance,my cousin,"""my cousin Charlie"""
30410,Monica,speaker,unnamed,None,my parents,
30497,Monica,speaker,Mr. Geller,next speaker,your father,
30502,Chandler,next speaker,unnamed,None,your parents,
30503,Chandler,speaker,unnamed,None,my mother,
30503,Chandler,speaker,unnamed,None,my father,
30622,Monica,speaker,unnamed,None,my children,these are hypothetical future children at this point
30636,Rachel,speaker,unnamed,None,my dad,
30718,Monica,speaker,unnamed,None,my father,
30724,Ross,speaker,unnamed,None,my dad,
30732,Monica,next speaker,unnamed,None,your father,
30734,Monica,prev speaker,unnamed,None,your dad,
30750,Rachel,"next speaker, prev prev speaker, and NE in prev utterance",unnamed,None,her dad,
30752,Rachel,speaker,unnamed,None,my dad,
30802,Rachel,speaker,unnamed,None,my father,
30802,Rachel,speaker,unnamed,None,my mother,
30814,Phoebe,next speaker and NE in utterance,Ursula,NE in next utterance,your sister,
30829,Judy,NE in utterance,unnamed,None,her father,
30837,Joey,NE in utterance and prev speaker,unnamed,None,your mom,
30838,Joey,NE in prev utterance and prev prev speaker,unnamed,None,your mommy,
31066,Drake,NE in utterance,Stryker,speaker and NE in utterance,your brother,"""Drake, it’s your brother Stryker"""
31090,Monica,speaker,unnamed,None,my mom,
32052,Ross,speaker,unnamed,None,my dad,
32112,Monica,speaker,unnamed,None,my dad,
32363,Phoebe,speaker,unnamed,None,my mom,
32363,Phoebe,speaker,unnamed,None,my mom,
32363,Phoebe,speaker,unnamed,None,my mom,
32507,Ross,speaker,unnamed,None,my son,
32627,Chandler,speaker,Glenn,NE in utterance,my cousin,
32678,Monica,speaker,unnamed,None,my cousin,
32831,Monica,speaker,Ross,prev speaker and next next speaker,my brother,
32963,Tag,speaker,unnamed,None,my sister,
33136,Ross,prev speaker,unnamed,None,your mother,
33148,Ross,prev speaker,unnamed,None,your mother,
33194,Ross,prev speaker,unnamed,None,your mother,
33367,Phoebe,speaker,unnamed,None,my sister,
33408,Monica,prev speaker and next speaker,unnamed,None,your parents,
33442,Ursula,speaker,unnamed,None,my mom,
33470,Monica,prev speaker,unnamed,None,her parents,
33498,Rachel,prev speaker and next speaker,unnamed,None,your brother,brother is hypothetical (Rachel has no brother)
33556,Joey,prev speaker and next speaker,unnamed ,None,your mother,"""I'm not your mother"""
33688,Phoebe,speaker,unnamed ,None,my mom,
