SR_number,source,source_location,target,target_location,kinship_phrase,Notes,
17,Chandler,speaker,unnamed,None,my mother,,
45,Monica,speaker,Ross,NE in sentence,my brother,NE right after kinship term (multiple NEs in sentence),
228,Rachel,speaker,unnamed,None,my parents,,
234,Rachel,prev speaker and next speaker,unnamed,None,my parents,,
316,Monica,speaker,unnamed,None,my parents,,
372,Rachel,NE in utterance,unnamed,None,her parents,Only NE in sentence,
378,Monica,prev prev speaker,Mrs. Geller,prev speaker,your mother,,
382,Ross,speaker,unnamed,None,my child,,
395,Chandler,speaker,unnamed,None,my parents,,
495,unnamed,None,unnamed,None,your parents,"""Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.""",
800,Rachel,prev speaker ,unnamed,None,your mom,,
805,Joanne,speaker,unnamed,None,my dad,,
893,Pizza Guy,speaker,unnamed,None,my dad,,
912,unnamed,None,unnamed,None,his mother,,
1003,Rachel,speaker,unnamed,None,my father,,
1006,Chandler,speaker,unnamed,None,my father,,
1038,Joey,prev speaker and next speaker,unnamed,None,your cousin,,
1043,Angela,NE in utterance,unnamed,None,her brother,Only NE in sentence; NE after kinship term,
1428,Ross,speaker,Monica,prev prev speaker,my sister,,
1643,Monica,NE in utterance,unnamed,None,your dad,Only NE in sentence; NE before kinship term,
1689,Phoebe,speaker,unnamed,None,my mom,,
1728,Aunt Lillian,prev speaker,unnamed,None,your mom,,
1782,Ross,speaker,Monica,prev speaker,my sister,,
1805,Monica,prev speaker,Mrs. Geller,speaker,your mother,,
1833,Rachel,speaker,unnamed,None,my father,,
1916,Chandler,speaker,unnamed,None,my parents,,
1955,Joey,speaker,unnamed,None,my mom,,
1964,Phoebe,speaker,unnamed,None,my mom,,
2008,unnamed,None,Ross,speaker,your daddy ,"Ross speaking to baby in belly: ""Hey, hey, I'm your daddy. I'm the one without any breasts.""",
2071,Phoebe,speaker,unnamed,None,my mother,,
2279,Monica,prev speaker,Ross,NE in sentence,your brother,Only NE in sentence: NE before kinship term,
2317,Chandler,prev prev spealer,unnamed,None,your mom,,
2319,Chandler,prev speaker and NE in sentence,unnamed,None,your mom,,
2321,Chandler,prev speaker and NE in sentence,unnamed,None ,your mom,,
2340,Mrs. Bing,speaker,Chandler,prev prev speaker and next next speaker,my son,,
2344,Mrs. Bing,speaker,Chandler,next speaker,my son,,
2408,Joey,speaker,Gloria Tribbiana,NE in next next utterance,my mom,,
2424,unnamed,None,unnamed,None,his mother,,
2439,Chandler,speaker,unnamed,None,my mom,,
2440,Chandler,prev speaker and next speaker,unnamed,None,your mom,,
2450,Chandler,speaker,unnamed,None,my mom,,
2477,Joey,speaker,unnamed,None,my mother,,
2489,Chandler,speaker,unnamed,None,my mom,,
2439,Chandler,speaker,unnamed,None,my mom,,"380 Mr. Geller  ...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem."
2556,Chandler,prev speaker,unnamed,None,your mom,,"381 Monica  So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?"
2572,Rachel,speaker,unnamed,None,my sister,,"382 Ross  Okay! Okay. Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
2842,Joey,speaker,Mr. Trib,NE in next next utterance,my dad,,383 Mrs. Geller  And you knew about this?!
2863,Joey,prev speaker,Mr. Tribbiani,speaker,your dad,,"384 Joey  Your folks are really that bad, huh?"
2866,unnamed,None,unnamed,None ,your dad,"It's like if you woke up one day and found out your dad was leading this double life. He's like actually some spy, working for the C.I.A. That'd be cool.... This blows!",
2948,Joey,speaker,unnamed,None,my dad,,"384 Joey  Your folks are really that bad, huh?"
2949,Joey,prev speaker and next speker,unnamed,None,your father,,"385 Ross  Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
2994,Joey,prev speaker next speaker and NE in sentence,unnamed,None,your father,,"386 Monica  Boy, I know they say you can't change your parents,... boy, if you could- -I'd want yours."
2998,Joey,prev speaker and next speaker,unnamed,None,your father,,387 Ross  Must pee.
3000,Joey,prev speaker and next speaker,unnamed,None,your father,,"388 Phoebe  Y'know, it's even worse when you're twins."
3021,Joey,next speaker,unnamed,None,your father,,
3028,Chandler,speaker,unnamed,None,my mom,,"393 Rachel  All right, you guys, I kinda gotta clean up now."
3028,Chandler,speaker,unnamed,None,my parents,,"394 Monica  Chandler, you're an only child, right? You don't have any of this."
