extracted_triple	utterance-1	utterance	utterance+1
('Monica', 'has-brother', 'Rachel')	['Rachel', " Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"]	['Monica', ' Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? ']	['Rachel', ' Hi, sure!']
('Monica', 'has-brother', 'Paul')	['Paul', " I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"]	['Monica', " My brother's going through that right now, he's such a mess. How did you get through it?"]	['Paul', ' Well, you might try accidentally breaking something valuable of hers, say her-']
('Monica', 'has-brother', 'Angela')	['Angela', " You know what else? He's unbelievable in bed."]	['Monica', ' Wow. My brother never even told me when he lost his virginity.']	['Angela', " Huh. That's nice."]
('Monica', 'has-brother', 'Chandler')	['Chandler', ' Yes! Good thing we have that, ‘Not in New York’ rule.']	['Monica', ' Right. Umm, listen since we’re-we-re on that subject, umm, I just wanted to tell you that uh, well, I-I was going through a really hard time in London, what with my brother getting married and that guy thinking I was Ross’s mother…']	['Chandler', ' Right.']
('Monica', 'has-brother', 'Joey')	['Chandler', " Okay y'know what, because you said that, I'm not putting out tonight."]	['Monica', " I'm telling you, something's wrong! My brother does not stay out all night."]	['Joey', ' Maybe we should check the trash chute.']
('Monica', 'has-brother', 'Ross')	['Rachel', ' Wait a minute! You let Ross drive the Porsche and when I ask you, you say you’re the only one who’s allowed to drive it.']	['Monica', ' Yeah, well he’s my brother! And plus he drives so slow he could never hurt it.']	['Ross', ' It’s a car Monica! Not a rocket ship!']
('Phoebe', 'has-brother', 'Frank')	['Joey', ' Lean-lean-lean!']	['Phoebe', ' Oh my God! I can’t believe my little brother is married!']	['Frank', ' Oh I know!!']
('Phoebe', 'has-brother', 'Joey')	['Ross', ' Pheebs, what, is it the age thing?']	['Phoebe', " No-no, oh, I’m fine with the age thing y'know, until it starts sticking it’s tongue down my little brother’s throat! "]	['Joey', ' Pheebs, he seems to enjoy it.']
('Phoebe', 'has-brother', 'Pete')	['Alice', ' Oh no-no, never say that. If we can’t get it out then we can cut around the stain, add a little lace, you make a stylish throw.']	['Phoebe', ' Or instead, maybe you could just not marry my brother Frank.']	['Pete', ' Okay, that’s great, but can we make it smaller? Can we make it fit on the head of a pin? I love when we make things fit on the head of a pin.']
('Phoebe', 'has-brother', 'Nurse')	['Nurse', ' Now, which of you is the father?']	['Phoebe', ' Oh no, none of them are the father. The father is my brother.']	['Nurse', ' Okay…']
('Joey', 'has-brother', 'Chandler')	['Chandler', " So you didn't uh, choose Ross before me."]	['Joey', " No! I would never do that! You-you're like my brother!"]	['Chandler', ' Really?!']
('Phoebe', 'has-brother', 'Chandler')	['Joey', ' Hey! It’s Porsche!!']	['Phoebe', ' Me taking care of you is no problem, huh? You guys feel safe. Right? Okay, I’m gonna take that spit bubble as, "Yeah, I do!" Okay, after I get rid of this dirty diaper Leslie, I’ll set you up with a clean one. Okay, I’m sorry. I didn’t mean to scare you. I just have to clean that up. Okay? ‘Cause let’s face it, we’re at Monica’s. I broke it. All right. Well, that’s just the way that goes. Okay, good. Why are there only two of you? Where is Leslie? Well, you can’t answer. Leslie? Where are you Leslie? Leslie, now would be a good time for your first words! Well, look at you! Hey! You are a little bit mischievous! My gosh! Oh, you’re a lot mischievous! Well, it’ll dry. Okay, you sit with your brother and sister now—who aren’t there!']	['Chandler', ' Hey!']
('Ross', 'has-brother', 'Joey')	['Rachel', ' Oh so-so not really never.']	['Ross', ' I have to say you are a much bigger person than I am. I mean after all we’ve been through, I just—y’know I wish I had a brother to reciprocate. Hey, if you ever want to go out with Monica, you have my blessing.']	['Joey', ' Oh-ho, and mine!']
('Monica', 'has-brother', 'Frannie')	['Ross', ' Hi Frannie, congratulations.']	['Monica', ' You invite my brother, you invite my whole family, and not me?! Why?! What—Why wouldn’t you want me at your wedding? What could I have possibly done?! Stuart!']	['Frannie', ' I believe you know my husband.']
('Ross', 'has-brother', 'Chandler')	['Chandler', ' Do I still call you Ross?']	['Ross', ' Okay! You guys are getting married tomorrow and-and I couldn’t be more thrilled for both of you, but as Monica’s older brother I-I have to tell you this. If you ever hurt my little sister, if you ever cause her any unhappiness of any kind, I will hunt you down, and kick your ass! What? I’m-I’m-I’m serious! Come—Hey! Dude! Stop it! Okay? I’m-I’m not kidding here!']	['Chandler', ' Hey, I hear what your saying, okay? And, thanks for the warning.']
('Ross', 'has-brother', 'Monica')	['Chandler', ' Mr. and Mrs. Bing!']	['Ross', ' Wow Monica! Hey, just so you know I had my uh, older brother chat with Chandler.']	['Monica', ' What is that?']
('Dina', 'has-brother', 'Joey')	['Joey', ' Because! ‘Cause… ‘Cause you’re my baby sister!']	['Dina', ' And you’re my big brother! I mean, you’re my favorite guy in the whole world. I’m not even scared to tell mom and dad. I was scared of telling you.']	['Joey', ' Well I’d be scared of them, but all right.']
('Ross', 'has-sister', 'Joey')	['Monica', ' Oh no!']	['Ross', ' You slept with my sister?']	['Joey', ' Uh yes, but it was, we just did it once uh, in London.']
('Ross', 'has-sister', 'Phoebe')	['Monica', ' Well umm, Chandler and I are moving in together.']	['Ross', ' Oh my God. Ohh, my little sister and my best friend…shaking up. Oh, that’s great. That’s great.']	['Phoebe', ' Guys, I’m happy too.']
