extracted_triple	utterance-1	utterance	utterance+1
('Monica', 'has-brother', 'Ross')	['Chandler', ' Yes! Good thing we have that, ‘Not in New York’ rule.']	['Monica', ' Right. Umm, listen since we’re-we-re on that subject, umm, I just wanted to tell you that uh, well, I-I was going through a really hard time in London, what with my brother getting married and that guy thinking I was Ross’s mother…']	['Chandler', ' Right.']
('Phoebe', 'has-brother', 'Frank')	['Alice', ' Oh no-no, never say that. If we can’t get it out then we can cut around the stain, add a little lace, you make a stylish throw.']	['Phoebe', ' Or instead, maybe you could just not marry my brother Frank.']	['Pete', ' Okay, that’s great, but can we make it smaller? Can we make it fit on the head of a pin? I love when we make things fit on the head of a pin.']
('Phoebe', 'has-brother', 'Monica')	['Joey', ' Hey! It’s Porsche!!']	['Phoebe', ' Me taking care of you is no problem, huh? You guys feel safe. Right? Okay, I’m gonna take that spit bubble as, "Yeah, I do!" Okay, after I get rid of this dirty diaper Leslie, I’ll set you up with a clean one. Okay, I’m sorry. I didn’t mean to scare you. I just have to clean that up. Okay? ‘Cause let’s face it, we’re at Monica’s. I broke it. All right. Well, that’s just the way that goes. Okay, good. Why are there only two of you? Where is Leslie? Well, you can’t answer. Leslie? Where are you Leslie? Leslie, now would be a good time for your first words! Well, look at you! Hey! You are a little bit mischievous! My gosh! Oh, you’re a lot mischievous! Well, it’ll dry. Okay, you sit with your brother and sister now—who aren’t there!']	['Chandler', ' Hey!']
('Ross', 'has-brother', 'Monica')	['Chandler', ' Do I still call you Ross?']	['Ross', ' Okay! You guys are getting married tomorrow and-and I couldn’t be more thrilled for both of you, but as Monica’s older brother I-I have to tell you this. If you ever hurt my little sister, if you ever cause her any unhappiness of any kind, I will hunt you down, and kick your ass! What? I’m-I’m-I’m serious! Come—Hey! Dude! Stop it! Okay? I’m-I’m not kidding here!']	['Chandler', ' Hey, I hear what your saying, okay? And, thanks for the warning.']
('Ross', 'has-brother', 'Chandler')	['Chandler', ' Mr. and Mrs. Bing!']	['Ross', ' Wow Monica! Hey, just so you know I had my uh, older brother chat with Chandler.']	['Monica', ' What is that?']
('Joey', 'has-sister', 'Tina')	['Monica', ' So you talked to your dad, huh.']	['Joey', " Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today."]	['Rachel', ' Wow.']
('Ross', 'has-sister', 'Joey')	['Rachel', ' You, you, you said he liked me. You, you slowpokes!']	['Ross', " That's all right, Rach, we got the bags. Hi, hello. Julie, this is my sister Monica. This is Chandler.  Phoebe.  Joey, what up?"]	['Joey', ' What up?!']
('Phoebe', 'has-sister', 'Ursula')	['Malcom', " I'm sorry. I'm sorry. I tried to stop, but I couldn't. I'm so pathetic."]	['Phoebe', " No, no, it's not your fault. You know it's partly my fault, 'cause I made you quit cold turkey. Sorry, no. Okay, well, I mean, I can't date you anymore, 'cause your, you know Wow! But um, but I will definitely, definitely help you get over my sister. Okay, stalk me for a while. Huh? Yeah, and, and, and, I'll be like an Ursula patch."]	['Malcom', " Uh-huh, I don't know."]
('Joey', 'has-sister', 'Chandler')	['Chandler', ' Yuck!']	['Joey', ' I can’t believe Ross went out with Rachel’s sister! When Chandler made out with my sister I was mad at him for 10 years.']	['Chandler', ' That was like 5 years ago.']
('Ross', 'has-sister', 'Monica')	['Emily', ' She said, "If I’m not gonna be happy getting married somewhere that we find in a day, well then we should just postpone it."']	['Ross', ' Postpone it? Emily, do you think Monica realises how much our parents spent on this wedding? Do you my sister’s teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh? This isn’t right.']	['Emily', ' I realize that people are going to be disappointed. But, I’m sure they’ll come back when we can do it right.']
