kinship_label	source	utterance	sr_number
sister	Phoebe	Look, he gave me his night vision goggles and everything.	8203
sister	Phoebe	Bye-bye!  That's why I moved out.	9435
sister	Ross	Hey, y'know while we're on that, when are you gonna tell my sister that you don't live here anymore.	9436
sister	Phoebe	I think on some levels she already knows.	9437
sister	Danny	What?! Why?!	9615
sister	Rachel	Umm, you-you and your sister seem to have umm, a very special bond, and	9616
sister	Danny	Oh great! That	9617
sister	Ross	What the hell?s a matter with you?	9923
sister	Ross	How do you think Joey?s going to react when he finds out that you blew off his sister with a letter?	9924
sister	Chandler	Well, that?s the part where you tell him that I moved to France. When actually I?ll be in Cuba.	9925
sister	Ross	Emily, do you think Monica realises how much our parents spent on this wedding?	9993
sister	Ross	Do you my sister's teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh?	9994
sister	Ross	This isn't right.	9995
sister	Ross	Well, I lost.	10097
sister	Ross	Some little girl loaned her uniform to her nineteen year old sister, who went down to the U.S.S.	10098
sister	Ross	Nimitz, and sold over 2,000 boxes.	10099
sisters	Rachel	Joey. Joey, something feels weird and not good weird. I don't-Whoa!!	3804
sisters	Joey	When my sisters were pregnant they got every weird feeling in the book, it was always nothing.	3807
sisters	Rachel	Really?	3808
sisters	Ross	No that's not what I want. Uh, I'm glad you guys were bonding but I	6347
sisters	Rachel	Look he doesn't have any brothers or sisters, somebody's gonna have to teach him this stuff!	6348
sisters	Rachel	And I haven't taught him anything that a normal 6-year-old doesn't know anyway!	6349
sisters	Danny	Do-do you, do you have brothers?	9619
sisters	Rachel	No, I have two sisters. But one of them has a very masculine energy.	9620
sisters	Danny	Are you close with them?	9621
mother	Monica	Would you look at them. Am I ever gonna find a boyfriend again? I gonna die an old maid.	3253
mother	Phoebe Sr.	I'm your mother.	3254
mother	Phoebe	Ehh?	3255
mother	Phoebe Sr	Wh-which is why I ah,  ahh,  okay.	5263
mother	Phoebe Sr	I'm your mother.	5264
mother	Phoebe	Heh?	5265
mother	Teacher	Alright people, now everyone grab a partner.	5443
mother	Phoebe	Okay. And, my, dead, mother, says, you, are, it. I'm with Rachel.	5444
mother	Monica	Great. It's gym class all over again.	5445
mother	Ross	Why would I tell him?	6543
mother	Joey	How about 'cause if you don't, his mother might.	6544
mother	Monica	What are you guys doing here?	6546
mother	Ross	Well, can you blame her?	7424
mother	Mr. Geller	Well I don't know, I-I suppose we may have favored you unconsciously, you were a medical marvel! The doctor said your mother could	7425
mother	Ross	Dad, dad I don't want to hear about it.	7426
mother	Monica	I can't believe this. Do you think that your parents could help pay for it?	8422
mother	Chandler	I don't know, my mother spent most of her money on her fourth wedding.	8423
mother	Chandler	She's saving the rest for her divorce.	8424
mother	Mrs. Geller	Oh, maybe that's it.	8633
mother	Monica	She is unbelievable, our mother is...	8634
mother	Ross	Okay, relax, relax.	8635
mother	Monica	No it's not.	8736
mother	Mr. Geller	Don't listen to your mother.	8737
mother	Mr. Geller	You're independent, and you always have been!	8738
mother	Ross	Little girl misses her cat.	8962
mother	Ross	Crazy lady thinks her mother is in a cat.	8963
mother	Ross	Okay, y'know what, I have to go have dinner with my son, can I trust that when you see Phoebe, you will tell her.	8964
father	Ross	Oh, that's not what you want...	307
father	Elizabeth	This is my father, Paul Stevens. Dad, this is Ross Geller.	308
father	Ross	It-it's great to meet you Paul.	309
father	Chandler	Oh! Right. Umm, maybe that's because I didn't send him an invitation.	847
father	Monica	Chandler! He's your father.  he should be at the wedding.	848
father	Chandler	I don't even know the man. Okay? We're not that close. I haven't seen him in years.	849
father	Phoebe	Ooh, I think I wanna trade circles.	854
father	Chandler	Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress.	857
father	Monica	So what! As long as he's not wearing a white dress and a veil I don't care.	858
father	Mona	Okay.	1529
father	Phoebe	Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.	1530
father	Phoebe	Go!	1531
father	Rachel	What? Hey wait a minute! Phoebe, how do you even know who the father is?	1532
father	Phoebe	I may play the fool at times, but I'm a little more than a pretty blond girl with an ass that won't quit.	1533
father	Phoebe	I believe this belongs to the father of your baby.	1534
father	Rachel	Oh God... Oh, he's in there right now?	1535
father	Rachel	Well, where is he? He is supposed to be here.  What if the baby needs him?	2357
father	Chandler	Rachel, what is the deal with you and doctors, anyway? Was, like, your father a doctor?	2358
father	Rachel	Yeah, why?	2359
father	Rachel	I know Mona, just hear me out.	2482
father	Rachel	First of all, I'm so sorry about my father yelling at you, but I heard you totally held your own.	2483
father	Rachel	You're gonna have to tell me how you did that.	2484
father	Lydia	Oh, shut up. You know, it's a rebuilding year. You... waah!	2998
father	Joey	Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We need a father!	2999
father	Lydia	There is no father.	3000
father	Joey	Oh, oh, oh, sorry.	3001
father	Ross	Oh uh, I'm sorry.	4619
father	Rachel	No Ross! Ross! Ross! My child has no father!	4620
