Turn;Speaker;Response;Reference Response;Overall Human Rating;Interesting;Engaging;Specific;Relevant;Correct;Semantically Appropriate;Understandable;Fluent
0;Ai2Thor;Hi Piek. Tell me what to do.;;;;;;;;;;
1;Ai2Thor;"This is what I can do:('I can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"")";;;;;;;;;;
2;Piek;find spoon;;;;;;;;;;
3;Ai2Thor;I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485};;;;;;;;;;
4;ACTION;Look;;;;;;;;;;
5;Piek;move forward;;;;;;;;;;
6;ACTION;MoveAhead;;;;;;;;;;
7;Piek;mover forward;;;;;;;;;;
8;Ai2Thor;Sorry I do not get that:mover;;;;;;;;;;
9;Piek;turn elft;;;;;;;;;;
10;Piek;turn left;;;;;;;;;;
11;ACTION;RotateLeft;;;;;;;;;;
12;Piek;find spoon;;;;;;;;;;
13;Ai2Thor;I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485};;;;;;;;;;
14;ACTION;Look;;;;;;;;;;
15;Piek;find chair;;;;;;;;;;
16;Ai2Thor;I found 2 instances of type chair in my view Chair_f2657f6e at {'x': -1.8540294170379639, 'y': 0.0020338892936706543, 'z': -0.9562326073646545} Chair_6dc5df19 at {'x': -1.832050085067749, 'y': 0.0020392537117004395, 'z': -0.034224189817905426};;;;;;;;;;
17;ACTION;Look;;;;;;;;;;
18;Piek;bye;;;;;;;;;;
