0,"GMA New Media, founded on 01-01-2000, is a mobile apps company that","GMA New Media, a company founded on 01-01-2000 are manufacturers of mobile applications."
1,"GMA New Media, founded on 01-01-2000, is a mobile apps company that","GMA New Media, which was founded on January 1, 2000, is a company that offers products such as mobile applications."
2,"GMA New Media, founded on 01-01-2000, is a mobile apps company that",GMA New Media makes mobile apps and was founded on 01/01/2000.
3,GMA New Media is an entertainment industry company located in the Philippines.,GMA New Media lies in the Philippines where applications are offered in the entertainment industry.
4,GMA New Media is an entertainment industry company located in the Philippines.,"Located in the Philippines, GMA New Media is an entertainment industry."
5,GMA New Media is an entertainment industry company located in the Philippines.,GMA New Media is an entertainment company located in the Philippines.
6,Harry Carey was the author of McVeagh of the South Seas which,"Born in 1878, Harry Carey later grew up to write and star in the movie McVeagh of the South Seas."
7,Harry Carey was the author of McVeagh of the South Seas which,"Harry Carey, born in 1878, wrote and appeared in the movie McVeagh of the South Seas."
8,Harry Carey was the author of McVeagh of the South Seas which,"Harry Carey, who was born in 1878, wrote and starred the film of McVeagh of the South Seas."
9,Ciudad Ayala has a population density of 1604.0 and a time,Ciudad Ayala which is in the Pacific Daylight time zone has the population density of 1604.
10,Ciudad Ayala has a population density of 1604.0 and a time,Ciudad Ayala city which has a PDT time zone has a population density of 1604.0.
11,Ciudad Ayala has a population density of 1604.0 and a time,Ciudad Ayala's time zone is Pacific Daylight Time and its population density is 1604.0.
12,"Chinabank, which has a net income of 15,100,000,000, has 5594 workers and","The net income of Chinabank is 15,100,000,000, and they have 5594 workers total."
13,"Chinabank, which has a net income of 15,100,000,000, has 5594 workers and",Chinabank currently brings in a net income of 15100000000 thanks to the efforts of its 5594 employees.
14,"Chinabank, which has a net income of 15,100,000,000, has 5594 workers and","Chinabank brings in a net income of 15,100,000,000 with its 5594 employees."
15,Ciudad Ayala is part of the Andlos region and has a U,"Morelos, in Ciudad Ayala, is in the UTC offset -6 timezone."
16,Ciudad Ayala is part of the Andlos region and has a U,"Ciudad Ayala, which has a UTC offset of -6, is part of Morelos."
17,Ciudad Ayala is part of the Andlos region and has a U,The UTC offset of Ciudad Ayala which is part of Morelos is -6.
18,The ALCO RS-3 was built by the Montreal Locomotive Works between May 1950,Montreal Locomotive Works built the ALCO RS-3 between May 1950 and August 1956.
19,The ALCO RS-3 was built by the Montreal Locomotive Works between May 1950,"The ALCO RS-3, built by Montreal Locomotive Works, was produced between May 1950 and August 1956."
20,The ALCO RS-3 was built by the Montreal Locomotive Works between May 1950,The ALCO RS-3 was built by the Montreal Locomotive Works and was produced between May 1950 and August 1956.
21,"Liselotte Grosebina is from the country of Israel, where the Arab",Liselotte Grschebina's nationality is Israeli where one of the ethnic groups is Arab.
22,"Liselotte Grosebina is from the country of Israel, where the Arab",Liselotte Grschebina has the nationality of Israel where one of the ethnicities is Arab people.
