Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
0,LEOLANI,,"Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?",," ,  my  name  is  hello  and  i  am  happy  to  talk  with  you  what  is  your  name  please  ,  tell  me  your  name ",0.5530192800190138,0.7687697012139403
1,LEOLANI,"Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?","Hi Koen! Please, tell me something about yourself."," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?", !  !  please  tell  me  more  about  yourself ,0.3910256363451481,0.7614581482484937
2,SPEAKER,"Hi Koen! Please, tell me something about yourself.",I have no perspective," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself.", i  have  a  idea ,0.53480613976717,0.6802027598023415
3,LEOLANI,I have no perspective,Mesmerizing Did you know that i also have a cat," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective", .  did  you  know  that  you  also  have  a  son ,0.5520608320832252,0.6764159806072712
4,SPEAKER,Mesmerizing Did you know that i also have a cat,I am feeling very bad about this,"nd I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat", i  am  feeling  really  sad  about  ? ,0.46288298070430756,0.5923329974923816
5,SPEAKER,I am feeling very bad about this,But tomorrow I see my grand daughter,"t is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this", because  when  i  see  my  grand  cat ,0.3316446489521435,0.44235225660460337
6,LEOLANI,But tomorrow I see my grand daughter,"What are you trying to say? I am just a humble AI, please try again.","our name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter", what  are  you  trying  to  say  i  am  just  a  cat  human  ill  try  to ,0.49238632917404174,0.608503187696139
7,LEOLANI,"What are you trying to say? I am just a humble AI, please try again.",I am out of words.,"o perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again.",i  am  afraid  of  breath ,0.47827008664608,0.569818788766861
8,SPEAKER,I am out of words.,That makes me very happy,"rizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words.", it  makes  me  very  sad ,0.45425163507461547,0.6468209564685822
9,LEOLANI,That makes me very happy,"I just learned something, I had never heard about that before!","i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy", i  have  learned  that  i  have  never  thought  of  cats  . ,0.4029939662326466,0.7022863653573123
10,SPEAKER,"I just learned something, I had never heard about that before!",My granddaughter is called Nora," I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before!", my  granddaughter  is  2  a ,0.4790955662727356,0.5391225486993789
11,LEOLANI,My granddaughter is called Nora,I would like to know. Has my granddaughter be inside container?,"e you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora", i  would  like  to  know can  your  granddaughter  been  called  ? ,0.36490657925605774,0.6252897774631326
12,SPEAKER,I would like to know. Has my granddaughter be inside container?,We are having a lot of fun,"am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container?", we  are  having  a  lot  of  problems ,0.7626870040382657,0.7662800241793905
13,LEOLANI,We are having a lot of fun,I am out of words.," me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun", i  ran  tired  of  my ,0.3177426427602768,0.44060900509357454
14,SPEAKER,I am out of words.,How are you feeling?,"st learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words.", how  are  you  ? ,0.7409185171127319,0.975156381726265
15,LEOLANI,How are you feeling?,I don't know, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling?, i  do  know ,0.5165583491325378,0.6791388591130575
16,SPEAKER,I don't know,Can you tell all about me?,heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know, can  you  know  me  about  it ,0.46543021127581596,0.7726000472903252
17,LEOLANI,Can you tell all about me?,I have no idea., granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me?, i  have  no  idea ,0.718375563621521,0.7985815107822418
18,SPEAKER,I have no idea.,Tell me all about me,s called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea.,tell  me  more  about  you ,0.5473812222480774,0.7116207480430603
19,LEOLANI,Tell me all about me,someone told me I know you, like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me, you  told  me  you  love  about ,0.23420271463692188,0.4211459110180537
20,SPEAKER,someone told me I know you,Who likes cats?,daughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you, who  any  you ,0.040146333475907646,0.251801776389281
