,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source,AUTOMATIC - System llh,AUTOMATIC - MLM llh,HUMAN - Overall Human Rating,HUMAN - Interesting,HUMAN - Engaging,HUMAN - Specific,HUMAN - Relevant,HUMAN - Correct,HUMAN - Semantically Appropriate,HUMAN - Understandable,HUMAN - Fluent
GROUP A - Total nodes,1.0,0.9999999999999997,,,,,,,1.0000000000000002,,1.0000000000000002,1.0,0.9999999999999997,,,,,,,0.9999999999999997,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,,1.0000000000000002,,1.0000000000000002,,,,1.0000000000000002,1.0000000000000002,,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,-0.06025582810896778,-0.23464067530381622,-0.6324555320336759,0.09390602830316859,-0.21821789023599242,-0.0734421082065386,-0.3492151478847892,-0.356348322549899,-0.3110026075493224,-0.3178208630818638,-0.19556059570949375
GROUP A - Total edges,0.9999999999999997,1.0,,,,,,,0.9999999999999998,,0.9999999999999998,1.0,0.9999999999999999,,,,,,,1.0,1.0000000000000004,0.9999999999999998,0.9999999999999998,0.9999999999999998,,0.9999999999999998,,0.9999999999999998,,,,0.9999999999999998,0.9999999999999998,,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,-0.06025582810896811,-0.2346406753038165,-0.6324555320336762,0.09390602830316863,-0.2182178902359924,-0.07344210820653853,-0.34921514788478913,-0.35634832254989923,-0.3110026075493226,-0.31782086308186386,-0.19556059570949386
GROUP A - Average degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP A - Average degree centrality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP A - Average closeness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP A - Average degree connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP A - Average assortativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP A - Average node connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP A - Number of components,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,0.9999999999999998,1.0000000000000002,1.0000000000000002,,,,,,,0.9999999999999999,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP A - Number of strong components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
