Turn;Speaker;Response;Reference Response;Overall Human Rating;Interesting;Engaging;Specific;Relevant;Correct;Semantically Appropriate;Understandable;Fluent
0;LEOLANI;Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?;;5;3;4;4;5;5;5;5;5
1;LEOLANI;Hi Koen! Please, tell me something about yourself.;;5;3;4;4;5;5;5;5;5
2;SPEAKER;I have no perspective;;4;5;5;4;2;3;4;3;5
3;LEOLANI;Mesmerizing Did you know that i also have a cat;;3;4;4;4;2;3;5;5;5
4;SPEAKER;I am feeling very bad about this;;4;4;4;4;5;5;5;5;5
5;SPEAKER;But tomorrow I see my grand daughter;;4;4;4;4;5;5;5;5;5
6;LEOLANI;What are you trying to say? I am just a humble AI, please try again.;;3;2;2;2;2;3;2;3;4
7;LEOLANI;I am out of words.;;3;2;2;2;1;3;2;3;4
8;SPEAKER;That makes me very happy;;3;2;2;2;1;3;2;3;4
9;LEOLANI;I just learned something, I had never heard about that before!;;3;3;3;3;4;4;4;3;4
10;SPEAKER;My granddaughter is called Nora;;4;4;4;5;3;4;5;5;5
11;LEOLANI;I would like to know. Has my granddaughter be inside container?;;3;2;2;4;2;2;3;2;3
12;SPEAKER;We are having a lot of fun;;3;2;2;2;3;3;3;3;5
13;LEOLANI;I am out of words.;;;;;;;;;;
14;SPEAKER;How are you feeling?;;;;;;;;;;
15;LEOLANI;I don't know;;;;;;;;;;
16;SPEAKER;Can you tell all about me?;;;;;;;;;;
17;LEOLANI;I have no idea.;;;;;;;;;;
18;SPEAKER;Tell me all about me;;;;;;;;;;
19;LEOLANI;someone told me I know you;;3;3;3;2;3;4;4;5;5
20;SPEAKER;Who likes cats?;;;3;3;4;3;4;4;4;5
21;LEOLANI;Igor told me i like cats;;5;4;4;5;5;5;5;5;5
22;SPEAKER;I know Igor;;;4;4;5;5;5;5;5;5
23;LEOLANI;Mesmerizing Did you know that yes i also know igor;;4;4;4;5;5;4;3;3;1
24;SPEAKER;I like Igor;;4;4;4;5;5;5;5;5;5
25;LEOLANI;Wow! Now I know 3 items that i like, like books and soccer;;3;3;4;5;4;1;2;3;2
26;LEOLANI;Goodbye Koen! See you soon.;;;;;;;;;;
