Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
0,LEOLANI,,"Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?",,",  my  name  is  hello  and  i  am  glad  to  talk  with  you  what  is  your  name  please ,  tell  me  your  name ",0.5555574863177278,0.7721906945757244
1,LEOLANI,"Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?","Hi Koen! Please, tell me something about yourself."," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?","! ,  please  tell  me  more  about  yourself ",0.38882648944854736,0.7624014606699347
2,SPEAKER,"Hi Koen! Please, tell me something about yourself.",I have no perspective," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself.", i  have  a  idea ,0.5333414934575558,0.6866060495376587
3,LEOLANI,I have no perspective,Mesmerizing Did you know that i also have a cat," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective",.  did  you  know  that  you  also  have  a  son ,0.5564350455999374,0.6855760276317596
4,SPEAKER,Mesmerizing Did you know that i also have a cat,I am feeling very bad about this," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat", i  am  feeling  really  sad  about ? ,0.4786762701613562,0.6180682118449893
5,SPEAKER,I am feeling very bad about this,But tomorrow I see my grand daughter," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this", because  when  i  see  my  grand  cat ,0.3237775947366442,0.44902564372335163
6,LEOLANI,But tomorrow I see my grand daughter,"What are you trying to say? I am just a humble AI, please try again."," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter", what  are  you  trying  to  say  i  am  just  a  cat  person  please  listen  to ,0.5076254556576411,0.6007550030946731
7,LEOLANI,"What are you trying to say? I am just a humble AI, please try again.",I am out of words.,"our name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again.",i  am  afraid  of  words ,0.4465376898646355,0.5436744198203087
8,SPEAKER,I am out of words.,That makes me very happy,"ly give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words.", it  makes  me  very  sad ,0.47643672227859496,0.6636432737112046
9,LEOLANI,That makes me very happy,"I just learned something, I had never heard about that before!","Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy", i  have  learned  that  i  have  never  thought  of  cats . ,0.404714472591877,0.7187319506298412
10,SPEAKER,"I just learned something, I had never heard about that before!",My granddaughter is called Nora,"ective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before!", my  cat  is  a  a ,0.3571074290666729,0.5894869595766068
11,LEOLANI,My granddaughter is called Nora,I would like to know. Has my granddaughter be inside container?,"that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora", i  would  like  to  know can  your  granddaughter  been  a ? ,0.3540832289409908,0.6040296419100328
12,SPEAKER,I would like to know. Has my granddaughter be inside container?,We are having a lot of fun,"rrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container?", we  are  having  a  lot  of  problems ,0.7480387847338404,0.7640071638992855
13,LEOLANI,We are having a lot of fun,I am out of words.,"r What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun", i  am  out  of  words ,0.7055448651313782,0.9018794655799866
14,SPEAKER,I am out of words.,How are you feeling?,"ng to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words.", how  are  you ? ,0.7373424023389816,0.9682354629039764
15,LEOLANI,How are you feeling?,I don't know,"a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling?", i  do  know ,0.49039719502131146,0.6447995205720266
16,SPEAKER,I don't know,Can you tell all about me?,"please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know", can  you  know  me  about  your ,0.4791556696097056,0.7416311005751292
17,LEOLANI,Can you tell all about me?,I have no idea.,"of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me?", i  have  no  idea ,0.7316688150167465,0.8539127260446548
18,SPEAKER,I have no idea.,Tell me all about me,"akes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea.",tell  me  more  about  you ,0.5631656922399998,0.7401457846164703
19,LEOLANI,Tell me all about me,someone told me I know you,"just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me", you  told  you  you  love  a ,0.15489788663884005,0.5216504534085592
20,SPEAKER,someone told me I know you,Who likes cats?,ad never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you, granddaughter  any  you ,0.022476000090440113,0.34733668466409046
21,LEOLANI,Who likes cats?,Igor told me i like cats,bout that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats?, someone  told  you  you  like  cats ,0.3338198624551296,0.5614015211661657
22,SPEAKER,Igor told me i like cats,I know Igor,ddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats, i  know  you ,0.24033419291178384,0.46318648258845013
23,LEOLANI,I know Igor,Mesmerizing Did you know that yes i also know igor, called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor,.  did  you  know ? ?  i  do  like  that ,0.35954548642039297,0.6404943883419036
24,SPEAKER,Mesmerizing Did you know that yes i also know igor,I like Igor,hter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor Mesmerizing Did you know that yes i also know igor, i  know  cats ,0.2648456121484439,0.7142193714777628
25,LEOLANI,I like Igor,"Wow! Now I know 3 items that i like, like books and soccer",de container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor Mesmerizing Did you know that yes i also know igor I like Igor,. !  you  have  about  things  that  you  like  reading  football  and  movies ,0.1709382932346601,0.47405695685973537
26,LEOLANI,"Wow! Now I know 3 items that i like, like books and soccer",Goodbye Koen! See you soon.," How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor Mesmerizing Did you know that yes i also know igor I like Igor Wow! Now I know 3 items that i like, like books and soccer",! .  see  you ! ,0.3381852626800537,0.5597762882709503
