Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
0,LEOLANI,,"Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?",,"And your name is , ! I am going to be to . This is your name if , give you your ##s ",0.35918008860038675,0.4941213098557099
1,LEOLANI,"Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?","Hi Koen! Please, tell me something about yourself."," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name?",! ! Please give me something for you ,0.12180292699486017,0.4380503911525011
2,SPEAKER,"Hi Koen! Please, tell me something about yourself.",I have no perspective," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself.",I am a . ,0.21573055535554886,0.43670395016670227
3,LEOLANI,I have no perspective,Mesmerizing Did you know that i also have a cat," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective",. : you know if I really have a perspective ,0.28371124863624575,0.47925261557102206
4,SPEAKER,Mesmerizing Did you know that i also have a cat,I am feeling very bad about this," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat",I am feeling so serious about it ,0.31277694020952496,0.413661217050893
5,SPEAKER,I am feeling very bad about this,But tomorrow I see my grand daughter," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this",", when I have my baby grand ",0.23097418887274607,0.42762575511421475
6,LEOLANI,But tomorrow I see my grand daughter,"What are you trying to say? I am just a humble AI, please try again."," Hi, my name is Leolani and I am happy to talk to you! What is your name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter",", are you going to do I am feeling a human , I me you ",0.34714606602986653,0.55768183345596
7,LEOLANI,"What are you trying to say? I am just a humble AI, please try again.",I am out of words.,"our name, please only give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again.",I am kind of my ,0.4373188495635986,0.5553144156932831
8,SPEAKER,I am out of words.,That makes me very happy,"ly give me your name? Hi Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words.",It makes you very very ,0.24769798442721366,0.39229486733675
9,LEOLANI,That makes me very happy,"I just learned something, I had never heard about that before!","Koen! Please, tell me something about yourself. I have no perspective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy",I have said . I just just learned of something . ,0.2531885836188766,0.5348352261564948
10,SPEAKER,"I just learned something, I had never heard about that before!",My granddaughter is called Nora,"ective Mesmerizing Did you know that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before!",My mother is Miss the ,0.24333378076553344,0.33936228081583975
11,LEOLANI,My granddaughter is called Nora,I would like to know. Has my granddaughter be inside container?,"that i also have a cat I am feeling very bad about this But tomorrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora",I just like to say Will my mother an a the ,0.2389880879358812,0.4046866677024148
12,SPEAKER,I would like to know. Has my granddaughter be inside container?,We are having a lot of fun,"rrow I see my grand daughter What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container?",I are having a lot of things ,0.5250649191439152,0.577437413590295
13,LEOLANI,We are having a lot of fun,I am out of words.,"r What are you trying to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun",I am out of words ,0.7087900996208191,0.900897216796875
14,SPEAKER,I am out of words.,How are you feeling?,"ng to say? I am just a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words.",What are you going ,0.2994239591062069,0.5005498751997948
15,LEOLANI,How are you feeling?,I don't know,"a humble AI, please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling?",I just feel ,0.29161746551593143,0.5625218649705251
16,SPEAKER,I don't know,Can you tell all about me?,"please try again. I am out of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know",what you hear anything about that ,0.2347719669342041,0.47313428421815235
17,LEOLANI,Can you tell all about me?,I have no idea.,"of words. That makes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me?",I have an choice ,0.4772917851805687,0.606449943035841
18,SPEAKER,I have no idea.,Tell me all about me,"akes me very happy I just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea.",Tell you all about you ,0.3601131647825241,0.49807074666023254
19,LEOLANI,Tell me all about me,someone told me I know you,"just learned something, I had never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me",", about you I told it ",0.13277461814383665,0.290604867041111
20,SPEAKER,someone told me I know you,Who likes cats?,ad never heard about that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you,really are you ,0.0,0.41358277201652527
21,LEOLANI,Who likes cats?,Igor told me i like cats,bout that before! My granddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats?,Someone told me Who like ##s ,0.1852105644841989,0.4655551314353943
22,SPEAKER,Igor told me i like cats,I know Igor,ddaughter is called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats,I like you ,0.3433811515569687,0.6145099252462387
23,LEOLANI,I know Igor,Mesmerizing Did you know that yes i also know igor, called Nora I would like to know. Has my granddaughter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor,". , you know , , You you - that ",0.12130250930786132,0.2350050002336502
24,SPEAKER,Mesmerizing Did you know that yes i also know igor,I like Igor,hter be inside container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor Mesmerizing Did you know that yes i also know igor,I know cat ,0.21060611804326376,0.5927114884058634
25,LEOLANI,I like Igor,"Wow! Now I know 3 items that i like, like books and soccer",de container? We are having a lot of fun I am out of words. How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor Mesmerizing Did you know that yes i also know igor I like Igor,". Did I have the things that I know including football , books ",0.1507505401968956,0.44852796311561877
26,LEOLANI,"Wow! Now I know 3 items that i like, like books and soccer",Goodbye Koen! See you soon.," How are you feeling? I don't know Can you tell all about me? I have no idea. Tell me all about me someone told me I know you Who likes cats? Igor told me i like cats I know Igor Mesmerizing Did you know that yes i also know igor I like Igor Wow! Now I know 3 items that i like, like books and soccer",". . Thank you , ",0.12704471349716187,0.3819411024451256
