Sentences;Avg 
Pontiac Riac has a Coupe body style and is assembled in Michigan.;0.595555555555556
"""The film. """"Its Great to be 5"""" starred by """"Cel""";0.604444444444444
The Motor Sport Sport Vision is located in Fawkham and its HQ is Faw;0.577777777777778
The population density of Ciudad Ayala is 1604.0 and the population density is;0.617777777777778
Anatole de Groinwald is the producer of Anatole de Growwald and;0.657777777777778
Ciudad Ayala is located in Mexico and is led by the Governator;0.911111111111111
Born in 1897. the British Folks. was the director of English With its Out Out;0.751111111111111
Tom Simon is the director of Deathona Factory Farm which was broadcasted by;0.688888888888889
Ray Giles was born in 1974 and wrote the super captures which starred Michael Korker;0.768888888888889
The College of William and Mary is the owner of the Alan B Miller Hall which is located in;0.68
Ciudad Ayala is located in the country of Mexico and is located 114;0.573333333333333
The Director of Deathona Factory Farm is Tom Simon and it was broadcast by the;0.76
 The Bedford Aerodrome. which serves the city of Bedford. is located in Thurleigh;0.715555555555556
The 11th Mississippi Infantry monument is located in Adams County. Pennsylvania. United States. It;0.684444444444444
Acharya Institute of Technology is located at Soldevanahalli. Acharya;0.657777777777778
